msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	source_gap_ratio	source_informative_site_ratio	source_gamma_alpha	model	model_without_alpha	best_model	best_model_base	has_G	has_I	has_F	gap_bucket	base_indel_rate	base_indel_size	indel_rate	indel_size	length_bin	override_applied	override_reason	indel_fallback_note	tree_bucket	source_total_tree_length	target_total_tree_length	tree_scale	indels
pandit_like_000131	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000131.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000131/tree/pandit_like_000131.nwk	4	81	5084	0.00925925925926	0.0987654320988	1.728	JTT+G4{1.728}	JTT+G4		JTT	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0025	GEO{2},GEO{2}	50_99	yes	length_bin:50_99	planned	source-row-tree	1.0050584281	1.0050584281	0.285523164604	0.0025,0.0025
pandit_like_000147	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000147.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000147/tree/pandit_like_000147.nwk	4	224	2770	0.139508928571	0.0401785714286		WAG	WAG		WAG	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.3603068147	2.3603068147	3.45954397925	0.006,0.006
pandit_like_000150	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000150.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000150/tree/pandit_like_000150.nwk	4	211	5260	0.0	0.0284360189573		JTT	JTT		JTT	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	0.25828626320000003	0.25828626320000003	0.121918285689	0.0035,0.0035
pandit_like_000173	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000173.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000173/tree/pandit_like_000173.nwk	4	178	7107	0.0266853932584	0.0955056179775	0.9114	LG+G4{0.9114}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	3.0309810705	3.0309810705	0.508521893736	0.0035,0.0035
pandit_like_000199	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000199.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000199/tree/pandit_like_000199.nwk	4	680	5983	0.147794117647	0.0323529411765		LG+F	LG+F		LG	False	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	3.4850671367	3.4850671367	2.60051543738	0.007,0.007
pandit_like_000203	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000203.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000203/tree/pandit_like_000203.nwk	4	633	3467	0.0770142180095	0.0805687203791	1.3121	LG+F+G4{1.3121}	LG+F+G4		LG	True	False	True	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	3.1615358734	3.1615358734	0.610169532122	0.006,0.006
pandit_like_000204	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000204.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000204/tree/pandit_like_000204.nwk	4	163	1037	0.0122699386503	0.0184049079755	0.4095	WAG+G4{0.4095}	WAG+G4		WAG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.2742227452000001	1.2742227452000001	1.52357845051	0.0035,0.0035
pandit_like_000238	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000238.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000238/tree/pandit_like_000238.nwk	4	95	2156	0.0263157894737	0.0421052631579	0.6818	WAG+G4{0.6818}	WAG+G4		WAG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0025	GEO{2},GEO{2}	50_99	yes	length_bin:50_99	planned	source-row-tree	1.6863310594	1.6863310594	0.588559028568	0.0025,0.0025
pandit_like_000242	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000242.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000242/tree/pandit_like_000242.nwk	4	203	2554	0.0	0.0344827586207		LG	LG		LG	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	0.6953420860999999	0.6953420860999999	0.104978849559	0.0035,0.0035
pandit_like_000257	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000257.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000257/tree/pandit_like_000257.nwk	4	195	3269	0.0461538461538	0.025641025641	0.8939	JTT+G4{0.8939}	JTT+G4		JTT	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	0.7571061260999999	0.7571061260999999	0.270712119506	0.0035,0.0035
pandit_like_000262	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000262.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000262/tree/pandit_like_000262.nwk	4	163	6593	0.0782208588957	0.0981595092025		LG	LG		LG	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.4511712379999997	2.4511712379999997	50.9948022222	0.006,0.006
pandit_like_000269	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000269.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000269/tree/pandit_like_000269.nwk	4	106	2944	0.0141509433962	0.0660377358491	0.9039	LG+G4{0.9039}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	4.4583609422	4.4583609422	1.23249300275	0.0035,0.0035
pandit_like_000272	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000272.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000272/tree/pandit_like_000272.nwk	4	140	1781	0.0571428571429	0.0428571428571	1.5447	LG+G4{1.5447}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	4.2102059299	4.2102059299	49.0583349635	0.0035,0.0035
pandit_like_000276	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000276.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000276/tree/pandit_like_000276.nwk	4	724	5190	0.0193370165746	0.0290055248619	0.5176	WAG+F+G4{0.5176}	WAG+F+G4		WAG	True	False	True	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	3.6057647894	3.6057647894	1.11079927375	0.0035,0.0035
pandit_like_000290	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000290.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000290/tree/pandit_like_000290.nwk	4	199	3919	0.00628140703518	0.170854271357	1.104	LG+G4{1.104}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.3822858541	2.3822858541	0.210445598901	0.0035,0.0035
pandit_like_000305	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000305.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000305/tree/pandit_like_000305.nwk	4	182	1760	0.0508241758242	0.0714285714286	1.0777	mtART+G4{1.0777}	mtART+G4		mtART	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	4.0889447896	4.0889447896	114.578527873	0.0035,0.0035
pandit_like_000315	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000315.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000315/tree/pandit_like_000315.nwk	4	561	5187	0.209001782531	0.00891265597148	0.9943	JTT+G4{0.9943}	JTT+G4		JTT	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	8.6593497765	8.6593497765	3.29620827895	0.007,0.007
pandit_like_000356	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000356.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000356/tree/pandit_like_000356.nwk	4	927	3877	0.131067961165	0.0463861920173	1.3558	rtREV+F+G4{1.3558}	rtREV+F+G4		rtREV	True	False	True	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	5.3672333242	5.3672333242	1.22170568289	0.006,0.006
pandit_like_000376	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000376.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000376/tree/pandit_like_000376.nwk	4	225	5441	0.0966666666667	0.0444444444444		WAG	WAG		WAG	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.172844211	2.172844211	0.230121970847	0.006,0.006
pandit_like_000382	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000382.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000382/tree/pandit_like_000382.nwk	4	126	7607	0.047619047619	0.0555555555556		JTT	JTT		JTT	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.2343519619	1.2343519619	0.189579978458	0.0035,0.0035
pandit_like_000384	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000384.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000384/tree/pandit_like_000384.nwk	4	658	5113	0.255699088146	0.0243161094225		LG	LG		LG	False	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	4.8377402767	4.8377402767	2.03665974564	0.007,0.007
pandit_like_000399	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000399.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000399/tree/pandit_like_000399.nwk	4	149	5956	0.00167785234899	0.0939597315436	1.3189	LG+G4{1.3189}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.7554261067999999	1.7554261067999999	1.65333235445	0.0035,0.0035
pandit_like_000410	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000410.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000410/tree/pandit_like_000410.nwk	4	96	6712	0.015625	0.0833333333333	0.7374	WAG+G4{0.7374}	WAG+G4		WAG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0025	GEO{2},GEO{2}	50_99	yes	length_bin:50_99	planned	source-row-tree	1.4599185847	1.4599185847	0.861381042096	0.0025,0.0025
pandit_like_000413	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000413.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000413/tree/pandit_like_000413.nwk	4	1509	2949	0.09774685222	0.0954274353877		WAG+F	WAG+F		WAG	False	False	True	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	3.674404105	3.674404105	10.7244829158	0.006,0.006
pandit_like_000429	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000429.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000429/tree/pandit_like_000429.nwk	4	106	3371	0.0188679245283	0.103773584906	0.5528	WAG+G4{0.5528}	WAG+G4		WAG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.718622307	1.718622307	0.753264508309	0.0035,0.0035
pandit_like_000430	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000430.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000430/tree/pandit_like_000430.nwk	4	220	6899	0.0113636363636	0.0454545454545	0.8665	LG+G4{0.8665}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.1720465735	2.1720465735	0.236970439688	0.0035,0.0035
pandit_like_000452	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000452.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000452/tree/pandit_like_000452.nwk	4	116	6708	0.0258620689655	0.0431034482759		cpREV	cpREV		cpREV	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.941411259	2.941411259	0.186669483918	0.0035,0.0035
pandit_like_000466	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000466.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000466/tree/pandit_like_000466.nwk	4	227	3277	0.0594713656388	0.0396475770925		WAG	WAG		WAG	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.7869284448	1.7869284448	0.643812350692	0.006,0.006
pandit_like_000468	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000468.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000468/tree/pandit_like_000468.nwk	4	314	6316	0.107484076433	0.0955414012739		WAG	WAG		WAG	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	2.4324301641	2.4324301641	0.846100965454	0.006,0.006
pandit_like_000479	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000479.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000479/tree/pandit_like_000479.nwk	4	326	5410	0.0391104294479	0.0398773006135		WAG	WAG		WAG	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	2.8989280677	2.8989280677	29.8831360784	0.0035,0.0035
pandit_like_000494	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000494.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000494/tree/pandit_like_000494.nwk	4	88	6938	0.164772727273	0.125		JTT	JTT		JTT	False	False	False	high-gap	0.007	GEO{3},GEO{3}	0.0055	GEO{2},GEO{2}	50_99	yes	length_bin:50_99	planned	source-row-tree	2.5067596005	2.5067596005	57.6872224356	0.0055,0.0055
pandit_like_000496	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000496.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000496/tree/pandit_like_000496.nwk	4	239	4912	0.00836820083682	0.0836820083682	0.8325	WAG+F+G4{0.8325}	WAG+F+G4		WAG	True	False	True	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	0.9819001825	0.9819001825	0.819529923866	0.0035,0.0035
pandit_like_000507	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000507.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000507/tree/pandit_like_000507.nwk	4	253	5497	0.0207509881423	0.0434782608696	1.4501	LG+G4{1.4501}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.8585178173	2.8585178173	0.954111758564	0.0035,0.0035
pandit_like_000514	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000514.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000514/tree/pandit_like_000514.nwk	4	336	5574	0.246279761905	0.0267857142857	1.5192	LG+G4{1.5192}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	5.392414577	5.392414577	1.02484502924	0.007,0.007
pandit_like_000534	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000534.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000534/tree/pandit_like_000534.nwk	4	183	6797	0.00409836065574	0.0382513661202		JTT	JTT		JTT	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	0.1908337267	0.1908337267	0.0404544210023	0.0035,0.0035
pandit_like_000543	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000543.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000543/tree/pandit_like_000543.nwk	4	143	2743	0.0856643356643	0.020979020979		JTT	JTT		JTT	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	0.5356165435	0.5356165435	0.049641497279	0.006,0.006
pandit_like_000546	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000546.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000546/tree/pandit_like_000546.nwk	4	198	3267	0.0176767676768	0.030303030303		cpREV	cpREV		cpREV	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.6814770996	2.6814770996	2.25412665023	0.0035,0.0035
